id,date,region,product,qty,unit_price,total,customer_id,status
1,2025-08-04,Central,P011,11,83.5,918.5,C5842,paid
2,2025-06-25,Central,P011,13,83.5,1085.5,C4779,pending
3,2025-04-11,South,P014,4,105.55,422.2,C4392,paid
4,2025-06-02,Central,P003,12,24.7,296.4,C8248,pending
5,2025-01-21,West,P007,13,54.1,703.3,C9799,paid
6,2025-07-22,East,P003,15,24.7,370.5,C8609,paid
7,2025-01-10,North,P017,17,127.6,2169.2,C8571,paid
8,2025-09-25,North,P011,6,83.5,501,C6796,paid
9,2025-06-06,East,P009,13,68.8,894.4,C4176,paid
10,2025-04-20,East,P015,9,112.9,1016.1,C4130,refunded
11,2025-08-16,North,P004,3,32.05,96.15,C4322,paid
12,2025-05-30,Central,P019,18,142.3,2561.4,C6284,paid
13,2025-11-18,South,P007,11,54.1,-595.1,C4673,refunded
14,2025-07-18,East,P003,2,24.7,49.4,C1930,paid
15,2025-08-07,West,P013,18,98.2,1767.6,C6158,paid
16,2025-12-30,West,P002,14,17.35,242.9,C2215,paid
17,2025-12-04,South,P013,20,98.2,1964,C7846,pending
18,2025-06-29,West,P002,6,17.35,104.1,C3026,pending
19,2025-05-20,North,P007,2,54.1,108.2,C8349,refunded
20,2025-11-07,East,P016,1,120.25,120.25,C7302,pending
21,2025-03-01,Central,P001,10,10,100,C1573,paid
22,2025-11-01,Central,P020,13,149.65,1945.45,C9841,paid
23,2025-06-02,East,P004,12,32.05,384.6,C1455,paid
24,2025-09-23,East,P010,6,76.15,456.9,C4043,paid
25,2025-06-12,South,P008,20,61.45,1229,C7156,paid
26,2025-02-17,North,P012,13,90.85,-1181.05,C8398,refunded
27,2025-08-19,Central,P003,17,24.7,419.9,C7650,refunded
28,2025-03-20,North,P002,2,17.35,34.7,C4084,paid
29,2025-07-30,West,P018,13,134.95,1754.35,C7359,paid
30,2025-02-20,West,P016,5,120.25,601.25,C1076,paid
31,2025-11-16,North,P020,18,149.65,2693.7,C5751,pending
32,2025-11-16,East,P006,20,46.75,935,C9342,refunded
33,2025-02-06,North,P008,10,61.45,614.5,C1852,paid
34,2025-03-26,Central,P019,12,142.3,1707.6,C1695,refunded
35,2025-05-20,North,P006,2,46.75,93.5,C4348,paid
36,2025-12-29,South,P018,12,134.95,1619.4,C6122,paid
37,2025-04-21,East,P006,11,46.75,514.25,C4662,paid
